Name,Type,HP,Attack,Defence
Onix,Rock,35.145510518442265,43.1621377593499,160.5872498229674
Kingler,Water,55.05466696158444,130.4904841305969,115.32680919618086
Kakuna,Bug,46.00153530769057,25.868534209722043,50.45074819805491
Poliwrath,Water,89.81751622184045,96.24929969655832,95.26247706939971
Seadra,Water,55.684978785358965,65.19274737947099,95.62472672380896
Flareon,Fire,65.20892413814954,131.39577819289448,60.74281074449349
Mr.Mime,Psychic,40.51573419565752,45.926568916564406,63.95478615420879
Wartortle,Water,59.38280573916571,63.875717344602165,81.37318624572512
Starmie,Water,60.324936618403534,72.78718225309281,85.61884979837478
Cubone,Ground,50.70986077744702,50.45757866188407,96.35787064943308
Squirtle,Water,43.575506900360594,46.93999280152514,64.7416622913591
Kingler,Water,55.25531768121831,130.64578248666226,114.337342209368
Butterfree,Bug,58.34380729421899,44.785801505039466,49.761931278566905
Kakuna,Bug,45.43155139050818,24.79554241693617,49.46007128357042
Nidorana,Poison,55.46017145480436,47.399752635762376,53.46720666386528
Gengar,Ghost,60.749038432347774,63.8209113151286,59.606962488326545
Poliwhirl,Water,64.6711744346579,64.95528875133125,64.06682376693695
Mewtwo,Psychic,106.46009550476622,111.23403129145939,89.86457415860937
Nidoking,Poison,81.37505385979667,100.8389712644101,78.24173455658865
Kakuna,Bug,45.81434598176979,25.88483686219208,49.45094152324423
Weepinbell,Grass,66.05709283285454,91.82035281112888,49.45193447554735
Machoke,Fighting,80.1288199769398,98.8742648509779,69.33725424065096
Butterfree,Bug,59.21857719466632,44.555390572619366,48.70815843710866
Tentacruel,Water,80.79462356634818,69.21284262181523,66.00050885854054
Ninetales,Fire,71.29489337213535,75.15142226337363,74.3801784233737
Dugtrio,Ground,35.56234997506175,80.5902698057188,48.58941077650904
Golbat,Poison,75.117556069331,80.01144457632275,70.47256190262637
Zapdos,Electric,88.91854876310977,90.30784177096749,84.45188414809716
Charmander,Fire,38.920622183524436,51.000694254233935,41.651177891278024
Jynx,Ice,65.38232017015946,50.16513149412209,33.5549889269491
Hitmonlee,Fighting,50.865986354908706,119.75741427098265,50.701342492421176
Jynx,Ice,64.09529402583462,50.03651303152348,35.70701912247499
Weedle,Bug,40.46318341485136,33.63320982975507,30.47038809985554
Dragonite,Dragon,92.07932700205934,134.4524570188233,94.1108345059683
Zubat,Poison,41.418848393864685,45.71371095307072,35.36949961682353
Haunter,Ghost,45.01542613253927,48.914680091980436,45.57196529671368
Nidorina f,Poison,70.98092907353389,60.39212823817155,68.22956637523754
Machoke,Fighting,80.48746338705939,99.02975907029521,68.42907332863142
Victreebel,Grass,79.07559212103104,105.07390474657073,64.78642371119362
Lapras,Water,129.37842887621443,85.96452992048577,78.56182374974416
Machop,Fighting,70.20287397191524,79.20857998651037,50.732124300918905
Vileplume,Grass,74.5297759518113,80.08742859464529,84.54844976046668
Pikachu,Electric,34.20546401099254,55.80440773501978,39.74936176840444
Grimer,Poison,79.91468427438636,80.52163966993979,49.188937813042045
Omastar,Rock,70.74890056205636,58.77570275628458,123.4993674583113
Arcanine,Fire,89.8260428696023,110.16298609376061,80.30696943598598
Charizard,Fire,78.38479708353184,84.1401318840552,77.02979676117249
Vileplume,Grass,75.13868882742155,79.2283322591722,84.46034977689087
Seel,Water,65.88837384304502,46.04484693957073,54.882115117091864
Magmar,Fire,65.24829177846509,94.67852558249656,57.54475407955285
Metapod,Bug,48.91318839154871,20.53555891892669,55.66846273392751
Rattata,Normal,29.75627667738212,57.20001417852857,34.44546926629943
Ponyta,Fire,49.88351613344881,86.17629040246065,55.533077009115836
Mankey,Fighting,40.70315857421381,79.39449101340814,34.124778921307374
Golduck,Water,79.84092622747414,81.16495539593583,78.28285126519302
Nidorino,Poison,60.36005811196611,72.24970926979438,56.71916462118599
Eevee,Normal,55.98791000489734,55.25705469156347,49.858010059980906
Articuno,Ice,88.88346575930626,85.35912574190868,99.93024303501724
Clefairy,Fairy,70.73639686628869,45.51797057867302,48.012146545373135
Exeggutor,Grass,94.3767388069209,93.98632888994366,85.27576750867833
Weezing,Poison,65.81347909833636,89.34055560649081,118.37483818036833
Onix,Rock,34.83224728467068,45.54160588146907,161.1835372291201
Dodrio,Normal,58.82466899865475,109.71993892524657,70.54320930554628
Ponyta,Fire,49.84617416414998,84.61315350873073,54.79361193991977
Sandslash,Ground,75.81927916537802,99.55522331513929,109.7608826605721
Raichu,Electric,61.21117080743276,90.4056363415416,55.610045410588604
Electrode,Electric,60.1849477653635,50.40569649190634,70.74487128117205
Kakuna,Bug,44.46082440318204,24.291462025665766,49.733349819307755
Pidgeot,Normal,82.86803544277515,80.43139956592796,75.35980517109265
